Name,Type,Opening Width(mm),Opening Height (mm),Opening Area (m2),RoofType,ImageURL
SKYLARK250_WINDOW-M1,Windows and doorways,564,1200,0.7,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b24a2b1a6ab4feb368cb3c_o5HueaIFBcQ0ezkzBTQ0iPecLFqmFWPAL8rI_hv0nQU.svg
SKYLARK250_WINDOW-S1,Windows and doorways,564,900,0.5,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b24a2da4a804e62a65cd52_ABCasXzWDYwTvpNzpBONFbhZVaqFXiz4dBN6QWgPmtE.svg
SKYLARK250_DOOR-S1,Windows and doorways,1164,1932,2.3,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b24a2e9023e631a981c11f_-G-clHz4f5tHKya1lRQgw18_LMPeW4EITIC04vOm8w4.svg
SKYLARK250_WINDOW-XL1,Windows and doorways,564,1800,1,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b24a2e3dbccabb2b9890b8_3oAWujNJKgkMyls5Wb5O8srOb5oWtyvB3g6aoWLyVi8.svg
SKYLARK250_DOOR-M1,Windows and doorways,1164,2232,2.6,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b24a303e36e79e965f4b88_-b0RD_H1RHlrTlN5Ha6HMYEIekT_Xc4W-UpFzxYsqeU.svg
SKYLARK250_DOOR-XL1,Windows and doorways,1164,2832,3.3,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b24a3211bb174c3cbc9ac1_e_6P29W0HGU7Tt8cVSXmLd7gX-ShwCQqzTBnj24Eu5E.svg
SKYLARK250_WINDOW-L1,Windows and doorways,564,1500,0.9,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b24a4288ef6c3e4020ff69_32AKvM22rPhfws9N7v7bDqMZV7nZZ3hCeulFS6-61UQ.svg
SKYLARK250_WINDOW-L3,Windows and doorways,564,1800,1,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b24a42e92554ae92838a00_QLq3a9vBLRsTHk2K3Y2H6kMzH6_kYBtnZmf69zRAOKU.svg
SKYLARK250_WINDOW-L2,Windows and doorways,1164,1500,1.8,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b24a45e09b6d7c8e8e8d32_HcCT10CL3O9CDhf0ukYNAZ0kEbb_s0shaBh7nVAhT6Q.svg
SKYLARK250_DOOR-L1,Windows and doorways,1164,2532,3,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b24a4f9023e631a981dd8e_WsBMq4xCioYtLocTUO--j_dJo-zHaBSv_eJ-3UAYqQg.svg
SKYLARK250_WINDOW-M2,Windows and doorways,1164,1200,1.4,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b24a4594968c6c8928ff91_ujzToVC4T_4czQPgax4fwcrXxQp3DXlfMhK3e1hYFWM.svg
SKYLARK250_WINDOW-S4,Windows and doorways,1164,1500,1.8,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b24a46dd103fc6f1e84ef6_6XAHbz7cOG-hjJ-Z61c6gEzJuQ6iyvrW4_BiEHyFMSo.svg
SKYLARK250_WINDOW-M4,Windows and doorways,1164,1800,2.1,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b28d13e75f0f7de60150a3_TSKvcFq9Qcu7BXfiR1JtiAgnjobvsSXL6T_9sWOfiuY.svg
SKYLARK250_WINDOW-S2,Windows and doorways,1164,900,1.1,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b28d147252115073a8b4c1_oGpa4Meu448W4YisToTgXd_lCr6iqeRpeJR0OoEfFBg.svg
SKYLARK250_WINDOW-XL2,Windows and doorways,1164,1800,2.1,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b28d16c6631fe2463e2d5b_RZiMl0U66ykIShtpBK56z4GWr_Kmi-5I-JZl9a_9tS0.svg
SKYLARK250_WINDOW-XL4,Windows and doorways,1164,2100,2.4,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b28d183838ddeaea007e5c_F1MOlFJ_8QJ5NJTkz9z9nbLmaLIn02C8Vc9uDGtftj0.svg
SKYLARK250_WINDOW-XL3,Windows and doorways,564,2100,1.2,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b28d17cd30ba735875e92e_dI0COcTMfpWJ6fA-eD3n-J3wzTcXb-t2lKlklZo5PY0.svg
SKYLARK250_WINDOW-M3,Windows and doorways,564,1800,1,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b28d12db018b429f8d41c8_zUxUTBqNmDuPmFlCv3Bm5NZFnWS7mFj3J7vxCAIieOw.svg
SKYLARK250_WINDOW-S3,Windows and doorways,564,1500,0.9,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b28d162769cc2a82b1af87_Y83_szqk48pElGgXIGqWhypqH7rtpyeawv2p18n-AvU.svg
SKYLARK250_WINDOW-L4,Windows and doorways,1164,1800,2.1,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b28d123838ddeaea0079e4_TZAzKMdWD0trLfYDUQBg6VnMhoXDw8OFFMQ7kd5oRhI.svg
SKYLARK250_DOOR-M2,Windows and doorways,2328,2232,5.2,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/66c74b81ed42bb124c4d4056_Nzf4gL01Sb87RbLgx8r7G8I9OO1ayDEa-UDUwKQG_q8.svg
SKYLARK250_DOOR-S2,Windows and doorways,2328,1932,4.5,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/66c74b81f1d582e57c54bc36_UHouTAlJ9CERVQi8EHaJYPu75ODJZ5GPRxODbWdwb0A.svg
SKYLARK250_DOOR-XL2,Windows and doorways,2328,2832,6.6,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/66c74b83690f7bb9391905d5_PJyPXfHH7q4mrw7dELrIxovu16ohTXtamjKlaz9mr80.svg
SKYLARK250_DOOR-L2,Windows and doorways,2328,2532,5.9,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/66c74b8406242e6ce850359a_NToCvjypcJ9cPDR-08nZT2STUQ91m0vFsPqSFNENj1s.svg
SKYLARK200_WINDOW-XL1,Windows and doorways,564,1800,1,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b23f55cdd755241282c004_1fjz4Nds1Y9iOfPA249nbX-ZBcMb_gLnnADnVK4Y9Kg.svg
SKYLARK200_WINDOW-S1,Windows and doorways,564,900,0.5,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b23f67152c9d10f4496cb0_oAVoC9QYiN-NEX06DjKNnBYhFrT06ou_psXiH5afAxo.svg
SKYLARK200_WINDOW-L2,Windows and doorways,1164,1500,1.8,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b23f57ba38ad19e854c77d_RzZHRFTO-E8nHMRThHYBRZPIHfLA0GulUEJRXRPtEME.svg
SKYLARK200_WINDOW-L1,Windows and doorways,564,1500,0.9,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b23f545f89af8b6105ea1f_H75lH9PRh3gbZEVQPWDLemwJ8VWOZGSP_2lbfoG2tvI.svg
SKYLARK200_WINDOW-M1,Windows and doorways,564,1200,0.7,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b23857dea631693543bfc2_V7WOup9Khl6g0vU7S3yP3asSeiaHeK1mVuynWrSDZyw.svg
SKYLARK200_WINDOW-M2,Windows and doorways,1164,1200,1.4,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b23f56965d463f21a839fd_8qbkRmUM-DvK5978WgbbwGmKmJHyLHoIzRJE5NkWzgI.svg
SKYLARK200_WINDOW-S2,Windows and doorways,1164,900,1.1,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b23f572fb213500d1f9543_U2idMBBInNn9Y_Pe6sCukbmYt5ONC4qimBdMPzDxOis.svg
SKYLARK200_WINDOW-XL2,Windows and doorways,1164,1800,2.1,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b23f5927dc45dc46ef1a96_7Lst39gj0lxCwE2fSX6wW3nWR5Y7WubJ_cR9r3f24fM.svg
SKYLARK200_DOOR-S1,Windows and doorways,1164,1932,2.3,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b23e2df3161ca6f6184734_TqiYh0Oz7aotHVSn5uGg3Jy4KLj7bKiVZzcCdO60n3E.svg
SKYLARK200_DOOR-M1,Windows and doorways,1164,2232,2.6,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b23e2f39539a21a80cc7df_Vydd0JAtrWD11dlqikqrQdNaxFEbgAX3-bTHktN-yng.svg
SKYLARK200_DOOR-L1,Windows and doorways,1164,2532,3,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b23f545f89af8b6105ea1f_H75lH9PRh3gbZEVQPWDLemwJ8VWOZGSP_2lbfoG2tvI.svg
SKYLARK200_DOOR-XL1,Windows and doorways,1164,2832,3.3,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b23e30c7bb25ad52861ce1_VntawIz9OZ15SBxN2L0FVhz2sLyUrHzKWt7ZtB-C9r4.svg
SKYLARK200_WINDOW-L3,Windows and doorways,564,1800,1,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b23f64528cb2b4c6cf2080_VNwU7t7fAfd6MRj1cxlORSwrEbVyCo_FL6idLvjR_kk.svg
SKYLARK200_WINDOW-L4,Windows and doorways,1164,1800,2.1,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b23f6509b72573353be4d3_60tLV8ty_-oCJuyorgTJiiRq55PDPUATHjubuxMwQpE.svg
SKYLARK200_WINDOW-M3,Windows and doorways,564,1800,1,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b23f625f89af8b6105f2fd_geUXCX-bTgGAd5sjydGCjjItzAF1zpYOnDGcIQfSJPI.svg
SKYLARK200_WINDOW-M4,Windows and doorways,1164,1800,2.1,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b23f66b7e2efa3c9b1dbf2_gHHr54T42uJQHBXsCSDFIyiuwn-ZDDimM6uk0NFO-pw.svg
SKYLARK200_WINDOW-S4,Windows and doorways,1164,1500,1.8,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b23f61aaf8b08615bf7d6f__3TDk1f9Y_ymYxtW5V4mhHCVGQnKmfktE5IHkFTnaq0.svg
SKYLARK200_WINDOW-S3,Windows and doorways,564,1500,0.9,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b23f5f27dc45dc46ef1c8b_GEES4piILa28t9VCKeH0vUAuTD6DR0oIVJg3MbOesRM.svg
SKYLARK200_WINDOW-XL4,Windows and doorways,1164,2100,2.4,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b23f60528cb2b4c6cf1d26_ZMyRh6d4S6OSgR6rl78YbBciZglKtXDNVb2_20k3W64.svg
SKYLARK200_WINDOW-XL3,Windows and doorways,564,2100,1.2,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/65b23f5e1c939a1468810708_thHAzMffFrG_iefPFcZedWdHOf5k5yCtwS7Z4t_8zsI.svg
SKYLARK200_DOOR-L2,Windows and doorways,2328,2532,5.9,,https://cdn.prod.website-files.com/612569c3243035968aaf61f1/66c74a9ed56bac9d526e4b68_QHQDcDwuqHqqcEAnb9qhRfAId2DvvU8675WOxR-rUZo.svg
